"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
101,"1","2024-05-13T18:40:48.693069Z",101,"/data/upload/5/2ba21b4f-IMG_9169.jpg","[{""x"":23.266219239373612,""y"":28.18791946308722,""width"":47.427293064877006,""height"":43.624161073825434,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",32.821,"2024-05-13T18:43:05.182600Z"
102,"1","2024-05-13T18:41:01.256317Z",102,"/data/upload/5/568cc6af-IMG_9170.jpg","[{""x"":36.99025710546173,""y"":39.22009392525453,""width"":26.21979750824971,""height"":24.237076262348644,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",28.502000000000002,"2024-05-13T18:43:28.736623Z"
103,"1","2024-05-13T18:41:14.134461Z",103,"/data/upload/5/7eee90bf-IMG_9171_Background_Removed_Background_Removed.png","[{""x"":42.08171475298541,""y"":46.029083724022954,""width"":15.159542253209674,""height"":13.787823867906019,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",27.72,"2024-05-13T18:43:51.326090Z"
104,"1","2024-05-13T18:41:25.262848Z",104,"/data/upload/5/97dce099-IMG_9171_Background_Removed.png","[{""x"":42.172990836429705,""y"":46.097954082567476,""width"":15.016838184691267,""height"":13.993146376720892,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",29.474999999999998,"2024-05-13T18:44:15.622225Z"
105,"1","2024-05-13T18:41:37.602045Z",105,"/data/upload/5/5c7f09f5-IMG_9172_Background_Removed.png","[{""x"":43.403146031897954,""y"":47.00143379821484,""width"":11.439039002935338,""height"":10.732857824347267,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",26.78,"2024-05-13T18:44:37.245926Z"
106,"1","2024-05-13T18:41:49.188429Z",106,"/data/upload/5/a9b755ed-IMG_9173_Background_Removed.png","[{""x"":45.16874069623248,""y"":51.728007528066655,""width"":9.348107643118489,""height"":9.150566689710033,""rotation"":356.2368406880113,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",43.473,"2024-05-13T18:45:15.741249Z"
107,"1","2024-05-13T18:42:09.114531Z",107,"/data/upload/5/69c52d6b-IMG_9174.jpg","[{""x"":37.225690175684996,""y"":30.27499322393877,""width"":42.01735703005098,""height"":39.12712711950243,""rotation"":20.5175141026524,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",39.509,"2024-05-13T18:45:41.855759Z"
108,"1","2024-05-13T18:42:42.671371Z",108,"/data/upload/5/4f301545-IMG_9175.jpg","[{""x"":43.716711859571866,""y"":34.63363886243034,""width"":22.633292453601012,""height"":21.689884125916684,""rotation"":22.586812618555484,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",31.235,"2024-05-13T18:42:42.671371Z"
109,"1","2024-05-13T18:46:16.512248Z",109,"/data/upload/5/c737d3d6-IMG_9176_Background_Removed.png","[{""x"":44.71495323883092,""y"":44.35712533295325,""width"":13.724698840410005,""height"":12.420171868592782,""rotation"":21.37981459711682,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",28.756,"2024-05-13T18:46:16.512248Z"
110,"1","2024-05-13T18:46:57.325724Z",110,"/data/upload/5/2a270543-IMG_9177_Background_Removed.png","[{""x"":46.50762458329801,""y"":46.844319018611735,""width"":9.96090646072715,""height"":9.320973629002562,""rotation"":23.031352869751004,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024},{""x"":48.08182652334719,""y"":41.125383265114245,""width"":2.8512824851038587,""height"":0.35641031063798323,""rotation"":0,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",38.197,"2024-05-13T18:46:57.325724Z"
111,"1","2024-05-13T18:47:32.988526Z",111,"/data/upload/5/ffe2b162-IMG_9178_Background_Removed.png","[{""x"":46.31368104961959,""y"":48.56240500094096,""width"":8.299540294572187,""height"":8.42739014963326,""rotation"":22.09789211568898,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",32.367,"2024-05-13T18:47:32.988526Z"
112,"1","2024-05-13T18:48:04.292057Z",112,"/data/upload/5/4c66632a-IMG_9179.jpg","[{""x"":47.407988855342914,""y"":28.282119019815955,""width"":34.41516095387595,""height"":31.774821341135723,""rotation"":47.01276132460646,""rectanglelabels"":[""putih""],""original_width"":3024,""original_height"":3024}]",28.967,"2024-05-13T18:48:04.292057Z"
